Hópur,Framkoma (0-2),Glærur (0-2),Kynning (0-2),Innihald (0-3),Tími (0-1),Total,Athugasemd 1,Athugasemd 2
1,1.5,2,1.5,2,0.5,7.5,"Svolítið erfitt að fylgja röksemdafærslu í fyrra dæmi.
Mættuð horfa svolítið meira út í salinn.
Góðar glæurur. Góð nýting á animation.
Aðeins of stutt.","Vantaði betri röksemdarfærsla fyrir því afhverju húsnúmerið hlýtur að vera 14, taka dæmi í seinna dæmi (sem er gott), aðeins of stuttir (4:20)"
2,1.5,2,1.5,2,0.5,7.5,"Mættuð horfa fram í salinn (nr. 2)
Svolítið stirður flutningur, en annars góð framkoma.
Horfa fram í salinn á meðan þú lýsir glærunum (nr. 4)
Mættuð setja meiri lokahnykk á dæmin: Hérna er lausnin!
Fínar glærur",Flestir ræðumenn tala niður í lófatölvu/síma. Vantar að segja enn skýrar afhverju húsnúmerið hlýtur að vera 14. Ágætis röksemd í seinna dæmi.
3,1.5,2,1.5,2.5,1,8.5,"Flott að byrja þetta á léttum nótum.
Seinni ""staðurinn"" er í rauninni óendanlega margir staðir.
Fín kynning á seinna dæmi.
Kannski einfaldara að segja ""á hornalínunni"" frekar en að lista upp alla reitina
","Ræðumaður 1: Hendur í vösum, húfa. Flottar glærur. Léttur húmor alltaf í lagi. Góðar kynningar á dæmum fyrir röksemdarfærslu. Útskýra siguráætlun en færa ekki nægileg rök fyrir henni, en gefa þó gott dæmi. Sléttar 5 mín."
4,2,1.5,2,3,1,9.5,"Epísk fyrsta glæra.
Nr. 1: Passa að standa ekki fyrir glærunum.
Fín útskýring á fyrra dæmi.
Hefðuð kannski mátt skipta Sam/Irving glærunum betur upp.
Fín röksemdafærsla í fyrsta dæmi.
Glærur svolítið þéttar af texta, annars mjög flott!",Skýr röksemd fyrir siguráætlun. Fín notkun á töflu. Fín röksemd fyrir húsnúmerinu. Innan tímamarka.
5,1.5,2,1,1.5,0,6,"Svolítið óskýr kynning á fyrsta dæminu.
Kynning á seinna dæmi, vantar ""og enda á sama stað og við byrjuðum""
Útskýringar á lausum dæmanna svolítið ábótavant.","Afhverju er það lykilatriði að jafna möguleika svo þeir séu 23? Farið beint í lausn í seinna dæmi, vantar kynningu."
6,2,2,2,3,0.5,9.5,"Ágæt kynning á fyrra dæmi.
Mjög skemmtileg kynning.",Upplífgandi glærur. Góð kynning á dæmi 1. Góður húmor. Góð röksemdarfærsla.
7,2,2,1.5,2,0.5,8,,"Vantar örlítið betri kynningu á fyrra dæmi, þó kynningin þurfi ekki að vera mikil. Annars góð röksemdarfærsla í báðum dæmum."
8,1.5,1.5,1.5,2.5,0,7,"Nr. 1: Passa að standa ekki fyrir glærunum.
Fín útskýring á lausninni á fyrra dæmi.
Svolítið lítill texti á stærðfræðiskotboltaglærum.
Kynning og lausn á seinna dæminu ekki jafn góð.",Góð kynning á dæmi með myndum. Ræðumaður 1 stendur aðeins fyrir glærunum. Fín röksemdarfærsla á dæmi 1. Vantaði þó að gefa skýrt svar í endann. Röksemdarfærslu í dæmi 2 yrði enn sterkari ef fyrsta lína í 6x6 borði væri t.d. X-?-?-?-?-? vs O.
9,1.5,2,2,2.5,1,9,"Kynnig á fyrra dæmi svolítið stirð.
Óþarfi að hafa heilar setningar á glærum. Notið frekar punkta.
Mjög fín lausn gefin á seinna dæmi.
Fínar glærur.
Glæran ""Óendanlegir upphafspunktar"" óþarfi. Hún útskýrir ekki neitt betur.","Fín kynning og röksemd í fyrra dæmi. Vekur upp minnimáttarkennd Íslendinga að halda fram að það séu 3 km frá austurlandi yfir norðvesturland! Í seinna dæmi, fín notkun á animation. Mjög góð röksemd í seinna dæmi. Innan tímamarka."
10,2,2,2,3,1,10,"Mjög góð kynning á fyrra dæmi.
Epískt!",Gott twist í kynningu á hópnum. Góð kynning á fyrra dæmi. Frábær hlutverk í dæmi 1. Vantar kannski örlítið útskýringu afhverju 36 er gullna talan (59-23 = 36). Annars góð röksemdarfærsla. Góð kynning á seinna dæmi. Fínn húmor. Mjög gott simulation. Frábær leikþáttur. Innan tímaramma.
11,1.5,1.5,1.5,1.5,0,6,"Vantar svoítið upp á útskýringu á fyrra dæminu.
Ágæt kynning á seinna dæminu, en vantar betri rökstuðning og lýsingu á siguráætluninni.","Vantaði betri glærur fyrir fyrsta ræðumann sem hann gæti stuðst við, í stað þess að þurfa leggja alla verkefnalýsinguna á minnið. Þar af leiðandi ekki alveg nógu skýr kynning á fyrra dæmi. Fín kynning í seinna dæmi. Fín útskýring í seinna dæmi."
12,2,2,2,2.5,1,9.5,"Fín kynning á fyrra dæmi.
Seinna dæmi mjög flott.","Fín kynning á fyrra dæmi. Mjög góð röksemd í fyrra dæmi. Fín kynning á seinna dæmi, einnig, sem og röksemdarfærslan. Leikþátturinn góður. Innan tímaramma."
13,1.5,2,2,1.5,0,7,"Fín kynning á fyrra dæmi.
Fóruð óþarflega hratt í röksemdafærsluna á fyrra dæminu.
Af hverju þarf maki 8 að taka í höndina á 0?
Ekki nógu góð röksemdafærsla á lausn á seinna dæmi.
Of stutt.",Fín röksemdarfærsla og kynning á fyrra dæmi. Góð kynning á seinna dæmi. Afhverju má maki í seinna dæminu ekki taka í hönd á neinum ef hinn makinn tók í hönd allra annarra? Röksemdarfærsla gæti því verið betri..
14,1.5,2,2,3,1,9.5,"Ágæt kynning á fyrra dæmi.
Fín lausn á fyrra dæmi. Geðveik mynd!
Fín kynning og lausn á seinna dæmi.","Spurning með langa aðdragandann. Dálítið út fyrir markmið fyrirlestursins. Fín kynning á fyrra dæmi. Glærur vel notaðar í röksemdarfærslu á fyrra dæmi, og röksemdarfærslan góð. Góð hugmynd að hafa leikþátt í seinna dæmi. Góð röksemdarfærsla í leikþátt seinna dæmis. Innan tímaramma."
15,1.5,1.5,2,2,1,8,"Mættuð láta glærur fylgja lausninni á dæmi 2. Það hjálpar áhorfandanum að skilja hvað þið eruð að tala um.
Ágæt kynning á seinna dæmi.","Ágæt kynning. Alltaf gott að hafa glærur til að benda í hápunkti röksemdarfærslu, svo áhorfendur hafi eitthvað til að virða fyrir sér. Þar af leiðandi fór röksemdarfærslan aðeins útaf braut. Fín kynning og röksemd í seinna dæmi. Innan tímaramma."
16,2,2,2,2.5,1,9.5,"Svolítið stirð kynning á fyrra dæminu.
Mjög flott animation til að lýsa lausninni.
Það er víst til þriggja hliða teningur!!!!
http://upload.wikimedia.org/wikipedia/commons/e/ee/D3wiki.JPG
Hefðuð mátt útskýra aðeins betur af hverju það mun alltaf einhver giska rétt.
Annars mjög gott.",Fínasta kynning á fyrra dæmi. Gott animation í fyrra dæmi. Ágæt leiðsla í gegnum animation-ið. Mjög góð kynning á seinna dæmi. Ágætis röksemdarfærsla.
17,2,2,1.5,2,0,7.5,"Byrjið eiginlega á öfugum þegar þið kynnið fyrra dæmið.
Svolítið stirð útskýring á lausninni á fyrra dæminu.
Hendurnar komu svolítið seint inn í útskýringuna á seinna dæminu.
",Góð kynning á fyrra dæmi. Röksemdarfærslan/leiðingin ágæt. Fín kynning á seinna dæmi og röksemdarfærsla góð. Ekki innan tímaramma (4:20).
18,1.5,2,1,2,1,7.5,"Fannst vanta kynningu á fyrsta dæminu.
Ágætt að koma með almenna lausn á fyrra dæminu.
Af hverju að tala um líkur? Þær koma ekki nálægt þessu dæmi (og svo töluðuð þið ekkert um þær meir).
Kynning á seinna dæminu svolítið stirð.","Gott build-up með kynningu á hópnum og almennt um verkefnin. Frumlegt að nota sokkana, en vantaði aðeins upp á kynninguna á dæminu. Lausnin ekki alveg nógu skýr í fyrra dæmi. Vantar að skýra svarið sjálft við seinna dæminu. Lausnaraðferð ágætlega útskýrð. Innan tímaramma."
19,1.5,1.5,2,2,1,8,"Seinna dæmi: Of mikill texti í kynningu.
""Allar þrenndir sem gefa margfeldið 72"".
""summu"" en ekki ""niðurstöðu""",Góð kynning á fyrra dæmi. Þið segið að þið funduð út að t.d. leikkonan væri sama hlutverk og Hollywoodstjarnan. Hvernig? Var það ekki bara eitthvað sem þið ákváðuð að gefa ykkur? Annars fín útskýring á fyrra dæmi. Betra í seinna dæmi að gefa ykkar eigin kynningu í stað þess að taka dæmið sjálft beint upp úr verkefninu. Gott að sýna allar mögulegar þrenndir í töflu. Vantaði aðeins skýrari röksemdarfærslu í seinna dæmi.
,,,,,,8.157894737,,